685,1,Adams Will,L'enigma di Alessandro Magno,Thriller,Thriller
686,2,Andreoli Vittorino,Delitti,Thriller,Thriller
687,3,Baden Michael,Il silenzio delle ossa,Thriller,Thriller
688,4,Baldacci David,Sotto pressione,Thriller,Thriller
689,5,Benazzi Natale,Il libro nero dell'inquisizione,Thriller,Thriller
690,6,Berry Steve,Il terzo segreto,Thriller,Thriller
691,7,Billingham Mark,Il persuasore,Thriller,Thriller
692,8,Billingham Mark,Collezionista di morte,Thriller,Thriller
693,9,Birkegaard Mikkel,Il libri di Luca,Thriller,Thriller
694,10,Birkegaard Mikkel,Delitti di uno scrittore imperfetto,Thriller,Thriller
695,11,Bolton Sharon,Sacrificio,Thriller,Thriller
696,12,Bondurant Matt,La terza traduzione,Thriller,Thriller
697,13,Brown Dan,La verità del ghiaccio,Thriller,Thriller
698,14,Brown Dan,Il simbolo perduto,Thriller,Thriller
699,15,Brown Dan,Il codice DaVinci,Thriller,Thriller
700,16,Brown Dan,Angeli e Demoni,Thriller,Thriller
701,17,Brown Dan,Crypto,Thriller,Thriller
702,18,Burdett John,Il perfezionista,Thriller,Thriller
703,19,Caldwell Ian,Il codice del quattro,Thriller,Thriller
704,20,Cain Chelsea,La ragazza dei corpi,Thriller,Thriller
705,21,Canova Gianni,Palpebre,Thriller,Thriller
706,22,Carrell Jennifer Lee,W.,Thriller,Thriller
707,23,Carrisi Donato,Il suggeritore,Thriller,Thriller
708,24,Child Lee,Trappola mortale,Thriller,Thriller
709,25,Clancy Tom,Euqilibri di potere,Thriller,Thriller
710,26,Clancy Tom,Stato d'assedio,Thriller,Thriller
711,27,Clancy Tom,Nome in codice: Red Rabbit,Thriller,Thriller
712,28,Clancy Tom,Rainbow Six,Thriller,Thriller
713,29,Connelly Michael,Lame di luce,Thriller,Thriller
714,30,Connelly Michael,La città delle ossa,Thriller,Thriller
715,31,Connelly Michael,Gli occhi della paura,Thriller,Thriller
716,32,Connelly Michael,La città buia,Thriller,Thriller
717,33,Connelly Michael,Musica dura,Thriller,Thriller
718,34,Connelly Michael,Vuoto di luna,Thriller,Thriller
720,35,Connelly Michael,Il poeta,Thriller,Thriller
719,35,Connelly Michael,Utente sconosciuto,Thriller,Thriller
721,36,Connelly Michael,Il poeta è tornato,Thriller,Thriller
722,37,Connelly Michael,Cronaca nera,Thriller,Thriller
723,38,Connolly John,L'angelo delle ossa,Thriller,Thriller
724,39,Connolly John,Palude,Thriller,Thriller
725,40,Connolly John,Gente che uccide,Thriller,Thriller
726,41,Connolly John,Il libro delle cose perdute,Thriller,Thriller
727,42,Cornwell Patricia,L'ultimo distretto,Thriller,Thriller
728,43,Cornwell Patricia,La traccia,Thriller,Thriller
729,44,Cornwell Patricia,Kay Scarpetta,Thriller,Thriller
730,45,Connelly Michael,L'ombra del coyote,Thriller,Thriller
731,46,Connelly Michael,Il ragno,Thriller,Thriller
732,47,Connelly Michael,La bionda di cemento,Thriller,Thriller
733,48,Connelly Michael,Ghiaccio nero,Thriller,Thriller
734,49,Connelly Michael,La memoria del topo,Thriller,Thriller
735,50,Connelly Michael,Debito di snague,Thriller,Thriller
736,51,Connelly Michael,Utente sconosciuto,Thriller,Thriller
737,52,Burke Ian,Ossa,Thriller,Thriller
738,53,Clancy Tom,Giochi di stato,Thriller,Thriller
739,54,Clancy Tom,Marines,Thriller,Thriller
740,55,Clancy Tom,Atti di guerra,Thriller,Thriller
741,56,Connolly John,Il ciclo delle stagioni,Thriller,Thriller
742,57,Cornwell Patricia,Cadavere non identificato,Thriller,Medical thriller
743,58,Cornwell Patricia,Calliphora,Thriller,Medical thriller
744,59,Cornwell Patricia,Morte innaturale,Thriller,Medical thriller
745,60,Cornwell Patricia,Insolito e crudele,Thriller,Medical thriller
746,61,Coulter Catherine,Delitto irrisolto,Thriller,Thriller
747,62,Collins Max Allan,CSI - La città del peccato,Thriller,Thriller
748,63,Collins Max Allan,CSI - Corpo del reato,Thriller,Thriller
749,64,Collins Maz Allan,CSI - Doppio gioco,Thriller,Thriller
750,65,Crais Robert,L'ultimo detective,Thriller,Thriller
751,66,Crais Robert,La città dorme,Thriller,Thriller
752,67,Crais Robert,Lo specialista,Thriller,Thriller
753,68,Crais Robert,Il mercante di corpi,Thriller,Thriller
754,69,Crichton Michael,Preda,Thriller,Thriller
755,70,Crichton Michael,Timeline,Thriller,Thriller
756,71,Crichton Michael,Stato di paura,Thriller,Thriller
757,72,Deaver Jeffery,Il giardino delle belve,Thriller,Thriller
758,73,Deaver Jeffery,Nero a Manhattan,Thriller,Thriller
759,74,Deaver Jeffery,La dodicesima carta,Thriller,Thriller
760,75,Deaver Jeffery,Requiem per una porno star,Thriller,Thriller
761,76,Deaver Jeffery,La finestra rotta,Thriller,Thriller
762,77,Deaver Jeffery,La scimmia di pietra,Thriller,Thriller
763,78,Deaver Jeffery,Profondo blu,Thriller,Thriller
764,79,Deaver Jeffery,La notte della paura,Thriller,Thriller
765,80,Deaver Jeffery,La bambola che dorme,Thriller,Thriller
766,81,Deaver Jeffery,L'uomo scomparso,Thriller,Thriller
767,82,Deaver Jeffery,La luna fredda,Thriller,Thriller
768,83,Deaver Jeffery,Notti senza sonno,Thriller,Thriller
769,84,DeMille Nelson,Morte a Plum Island,Thriller,Thriller
770,85,Dekker Ted,Adamo,Thriller,Thriller
771,86,Doherty Paul,Gli assassini del Graal,Thriller,Thriller storico
772,87,Ellroy James,L.A. confidential,Thriller,Thriller
773,88,Faletti Giorgio,Io uccido,Thriller,Thriller
774,89,Faletti Giorgio,Io sono Dio,Thriller,Thriller
775,90,Faletti Giorgio,Niente di vero tranne gli occhi,Thriller,Thriller
776,91,Faletti Giorgio,Fuori da un evidente destino,Thriller,Thriller
777,92,Faletti Giorgio,Appunti di un venditore di donne,Thriller,Thriller
778,93,Finder Joseph,Reati capitali,Thriller,Thriller
